الصنف,السعر
لمبة 100,20
لمبة 200,30
لمبة 200 نيازة,35
فيشة دكر الوسام,7
فيشة دكر كبيرة,15
فيشة دكر كبيرة السمرة,
كاميرا 1 مخرج,60
كاميرا 2 مخرج,120
دواية الوسام عادة,10
دواية الوسام نضيفة,15
مفتاح مروحة,125
دواية حائط,15
لوحة 8 خط الوسام,
لوحة 12 خط الوسام,
اتومتك 16 A,75
اتومتك 32 A,75
اتومتك 64 A,90
مفتاح بيان,30
لمبة سهارية 5 وات,10
لمبة بلحة,10
جرس داخل,
جرس خارج,
بلية 62002,25
بلية 62003,30
بلية 62001,25
اولسيد 12 & 13 & 14,
اولسيد 12 & 13 & 14 زراعي,
مفتاح ماجيك عادي الوسام,15
مفتاح جرس عادي الوسام,15
شكرتون صغير,15
شكرتون كبير,25
علبة مفتاح اتومتك خارج 2,15
علبة مفتاح اتومتك خارج 3,20
مشترك الوسام 1 متر,40
مشترك الوسام 3 متر,50
لمبة 68 lion,60
ريموت عادي,20
ريموت hd,20
وصلة 3*1,20
وصلة 1*1,20
وصلة 2*1,20
وصلة راديو,20
كابل خلاط,20
كابل خلاط + تركيب,25
كابل مكواة,20
كابل مكواة + تركيب,25
كابل كمبيوتر,20
كابل كمبيوتر والكيسة,20
كندنسر مروحة,10
كندنسر ماتور 12 & 14 & 6 & 8,
كوشة سلستين,20
كوشة صاج,10
كوشة صاج تقيلة,15
ريشة ماتور احصان,
ماسك كاميرا,10
غطاء روزته,
شنكل مروحة,15
يكور غسالة,
سلك دش 30,75
سلك دش 50,120
جلدة دورك & خلاط,10
قلب دورك,15
سكينة دورك,20
مفتاح خلاط,15
لمبة خلاط,
مفتاح غسالة,15
جلدة سرعات,10
يكور خرطوم غاز,15
علبة مفرد,
علبة دبل,
5 مسمار,1
لمبة 48,50
لمبة 38 & 35,35
لمبة 45 ريمونتادا,80
لمبة الوان,20
لمبة ليد مسمار,15
مفتاح سخان ميجا علبة ماجيك,120
مفتاح سخان علبة ماجيك بكيس,150
علبة مفرد خارج,15
مفتاح سخان خارج,
بنل 36 ديمو,
بنل 35 تينا,
بنل 6+6,
بنل 25,
ابليك up down 1,
ابليك up down 2,
ابليك up down 3,
ابليك up down 4,
مفتاح كمثري,
دواية بفيشة,15
مشترك احمال,15
مشترك خماسي,10
مشترك mk,15
مشترك mk احمال,20
ماتور الخلاط,250
علبة عادة,50
علبة معدل,
دورك,50
مطحنة,75
خلاط كامل,500 & 550
مفتاح عادة,
مفتاح مفرد بالبريزة,
مفتاح دبل بالبريزة,
مفتاح خارج,15
كلبسات 8 & 10 & 12,
كلبسات 16 & 24,
خبور 6 & 10,
دواية لمبة 500,
عازل,
وش الوسام,10
متر 1 م,8
متر 2 م,15
متر 3 م السويدي الاصلي,25
متر 4 م,30
بنل 3 تكات,
بنل باطار,
بنل 18 داخل,
لوحة زمزم,
قطعة فينوس,
سدادة فينوس,
وش فينوس,
شاسية فينوس,
جرس فينوس,
دش فينوس,
قطعة سانشي,
سدادة سانشي,
وش سانشي,
شاسية سانشي,
جرس سانشي,
دش سانشي,
متر خرطوم غاز,40
قفيز,5
قفيز كبير,15
امير,3
حجارة الريموت,10
بلبلة,2
متر سلك المجدول,8
متر 1 م ترمو,10
متر 2 م ترمو,15
فونية,3
نبل,5
سوستة 11,
سوستة 13,
سوستة 16,
سوستة 16 تقيلة,
خبور 4 مخرج,
علبة اسبط,
علبة تجميع,
خرطوم صبه احمر,
خرطوم صبه ازرق,
سوسته شداد,
دواية ديكور,
بواط 10 *10,
غطاء بواط 10 *10,
بواط 10 *15,
غطاء بواط 15 *10,
بواط 20*20,
غطاء بواط 20*20,
طارة ستانلس ستيل,85
غطا رزاز,
